i,local_time,ok,status,latency_ms,error
350,2026-05-16T22:23:47.759,1,200,235.365,
351,2026-05-16T22:23:48.056,1,200,245.675,
352,2026-05-16T22:23:48.358,1,200,245.204,
353,2026-05-16T22:23:48.658,1,200,239.845,
354,2026-05-16T22:23:48.953,1,200,244.54,
355,2026-05-16T22:23:49.260,1,200,244.122,
356,2026-05-16T22:23:49.565,1,200,244.695,
357,2026-05-16T22:23:49.869,1,200,243.452,
358,2026-05-16T22:23:50.176,1,200,246.115,
359,2026-05-16T22:23:50.483,1,200,249.762,
360,2026-05-16T22:23:50.786,1,200,246.544,
361,2026-05-16T22:23:51.095,1,200,248.595,
362,2026-05-16T22:23:51.404,1,200,255.116,
363,2026-05-16T22:23:51.721,1,200,251.449,
364,2026-05-16T22:23:52.021,1,200,246.576,
365,2026-05-16T22:23:52.325,1,200,242.959,
366,2026-05-16T22:23:52.621,1,200,234.974,
367,2026-05-16T22:23:52.912,1,200,236.344,
368,2026-05-16T22:23:53.207,1,200,241.745,
369,2026-05-16T22:23:53.518,1,200,247.087,
370,2026-05-16T22:23:53.821,1,200,247.678,
371,2026-05-16T22:23:54.122,1,200,243.621,
372,2026-05-16T22:23:54.434,1,200,250.204,
373,2026-05-16T22:23:54.731,1,200,240.708,
374,2026-05-16T22:23:55.040,1,200,244.204,
375,2026-05-16T22:23:55.349,1,200,246.014,
376,2026-05-16T22:23:55.655,1,200,245.743,
377,2026-05-16T22:23:55.960,1,200,247.881,
378,2026-05-16T22:23:56.260,1,200,242.416,
379,2026-05-16T22:23:56.566,1,200,243.15,
380,2026-05-16T22:23:56.878,1,200,248.969,
381,2026-05-16T22:23:57.193,1,200,259.723,
382,2026-05-16T22:23:57.505,1,200,251.457,
383,2026-05-16T22:23:57.797,1,200,237.445,
384,2026-05-16T22:23:58.086,1,200,237.591,
385,2026-05-16T22:23:58.374,1,200,234.61,
386,2026-05-16T22:23:58.668,1,200,239.529,
387,2026-05-16T22:23:58.987,1,200,255.173,
388,2026-05-16T22:23:59.291,1,200,253.995,
389,2026-05-16T22:23:59.592,1,200,248.999,
390,2026-05-16T22:23:59.896,1,200,249.145,
391,2026-05-16T22:24:00.201,1,200,249.686,
392,2026-05-16T22:24:00.512,1,200,254.857,
393,2026-05-16T22:24:00.821,1,200,245.196,
394,2026-05-16T22:24:01.129,1,200,249.56,
395,2026-05-16T22:24:01.426,1,200,241.675,
396,2026-05-16T22:24:01.736,1,200,249.726,
397,2026-05-16T22:24:02.039,1,200,246.767,
398,2026-05-16T22:24:02.342,1,200,248.047,
399,2026-05-16T22:24:02.646,1,200,246.79,
400,2026-05-16T22:24:02.950,1,200,249.058,
401,2026-05-16T22:24:03.247,1,200,242.875,
402,2026-05-16T22:24:03.546,1,200,237.745,
403,2026-05-16T22:24:03.848,1,200,249.745,
404,2026-05-16T22:24:04.154,1,200,252.845,
405,2026-05-16T22:24:04.463,1,200,253.472,
406,2026-05-16T22:24:04.764,1,200,246.968,
407,2026-05-16T22:24:05.082,1,200,259.169,
408,2026-05-16T22:24:05.389,1,200,247.129,
409,2026-05-16T22:24:05.693,1,200,247.288,
410,2026-05-16T22:24:05.997,1,200,246.396,
411,2026-05-16T22:24:06.301,1,200,247.744,
412,2026-05-16T22:24:06.609,1,200,249.45,
413,2026-05-16T22:24:06.924,1,200,258.468,
414,2026-05-16T22:24:07.238,1,200,254.517,
415,2026-05-16T22:24:07.820,1,200,516.901,
416,2026-05-16T22:24:08.127,1,200,246.06,
417,2026-05-16T22:24:08.422,1,200,234.353,
418,2026-05-16T22:24:08.717,1,200,237.956,
419,2026-05-16T22:24:09.013,1,200,242.789,
420,2026-05-16T22:24:09.320,1,200,244.832,
421,2026-05-16T22:24:09.633,1,200,253.105,
422,2026-05-16T22:24:09.933,1,200,247.48,
423,2026-05-16T22:24:10.239,1,200,248.326,
424,2026-05-16T22:24:10.563,1,200,265.784,
425,2026-05-16T22:24:10.874,1,200,256.049,
426,2026-05-16T22:24:11.189,1,200,250.835,
427,2026-05-16T22:24:11.490,1,200,247.191,
428,2026-05-16T22:24:11.794,1,200,248.109,
429,2026-05-16T22:24:12.103,1,200,253.601,
430,2026-05-16T22:24:12.416,1,200,247.801,
431,2026-05-16T22:24:12.725,1,200,253.695,
432,2026-05-16T22:24:13.030,1,200,254.91,
433,2026-05-16T22:24:13.338,1,200,255.99,
434,2026-05-16T22:24:13.658,1,200,256.95,
435,2026-05-16T22:24:13.967,1,200,247.179,
436,2026-05-16T22:24:14.261,1,200,236.866,
437,2026-05-16T22:24:14.562,1,200,249.481,
438,2026-05-16T22:24:14.878,1,200,259.554,
439,2026-05-16T22:24:15.208,1,200,269.7,
440,2026-05-16T22:24:15.530,1,200,259.981,
441,2026-05-16T22:24:15.842,1,200,252.337,
442,2026-05-16T22:24:16.151,1,200,255.105,
443,2026-05-16T22:24:16.468,1,200,254.779,
444,2026-05-16T22:24:16.780,1,200,250.64,
445,2026-05-16T22:24:17.089,1,200,254.094,
446,2026-05-16T22:24:17.389,1,200,246.509,
447,2026-05-16T22:24:17.701,1,200,254.537,
448,2026-05-16T22:24:18.012,1,200,260.194,
449,2026-05-16T22:24:18.322,1,200,249.693,
450,2026-05-16T22:24:18.632,1,200,254.714,
451,2026-05-16T22:24:18.941,1,200,245.62,
452,2026-05-16T22:24:19.247,1,200,247.576,
453,2026-05-16T22:24:19.544,1,200,238.319,
454,2026-05-16T22:24:19.842,1,200,244.139,
455,2026-05-16T22:24:20.148,1,200,247.681,
456,2026-05-16T22:24:20.458,1,200,253.842,
457,2026-05-16T22:24:20.756,1,200,247.656,
458,2026-05-16T22:24:21.065,1,200,253.904,
459,2026-05-16T22:24:21.369,1,200,251.236,
460,2026-05-16T22:24:21.674,1,200,250.349,
461,2026-05-16T22:24:21.979,1,200,251.227,
462,2026-05-16T22:24:22.282,1,200,249.142,
463,2026-05-16T22:24:22.585,1,200,248.579,
464,2026-05-16T22:24:22.894,1,200,251.447,
465,2026-05-16T22:24:23.205,1,200,255.785,
466,2026-05-16T22:24:23.511,1,200,254.859,
467,2026-05-16T22:24:23.821,1,200,257.871,
468,2026-05-16T22:24:24.148,1,200,266.317,
469,2026-05-16T22:24:24.456,1,200,255.346,
